Asia-Hong Kong,2038732
Asia-Mainland China,3072327
Asia-Japan,2346007
Asia-Korea,518528
Asia-Singapore,297588
Asia-Malaysia,226919
Asia-Thailand,507616
Asia-Philippines,129361
Asia-Indonesia,166378
Asia-Brunei,2411
Asia-Vietnam,361957
Asia-Macao,514701
Asia-Myanmar,23864
Asia-Cambodia,61338
Asia-Others,121210
America-U.S.A.,381374
America-Canada,65086
America-Others,135
Europe-France,33000
Europe-Germany,41122
Europe-Italy,1414
Europe-Netherlands,22102
Europe-Switzerland,1414
Europe-U.K.,38002
Europe-Austria,39734
Europe-Others,586
Oceania-Australia,69824
Oceania-New Zealand,1621
Oceania-Palau,27164
Oceania-Others,126
Africa-S.Africa,6
Africa-Others,1820
