月份,延平郡王祠,赤崁樓,億載金城,安平古堡,安平樹屋,每月旅遊人數,累計人數
1,30493,65915,27315,63971,38282,225976,225976
2,37801,115395,62924,123664,67408,407192,633168
3,52332,75714,24727,65854,33670,252297,885465
4,69661,101823,34905,91745,56121,354255,1239720
5,61871,80348,26515,67366,44097,280197,1519917
6,46540,69721,20451,60169,39811,236692,1756609
7,34727,91420,37139,87549,55022,305857,2062466
8,31252,81834,27760,75881,47998,264725,2327191
9,20909,66027,25505,64190,36900,213531,2540722
10,26960,83958,28831,85232,49401,274382,2815104
11,29744,84684,26497,84044,43915,268884,3083988
12,27326,76208,24965,72877,40462,241838,3325826
